Family,Genus,Species,Region,Range size (km),Body size (cm),Mean PLD (days),Depth range (m),Schooler,Spawn,Nocturnal,Multi-Habitat,Transpacific,Reference
LABRIDAE,Cheilinus,chlorourus,ICP,19580,36,27.1,29,NO,PEL,NO,NO,NO,33
LABRIDAE,Cheilinus,fasciatus,ICP,17000,36,25.7,56,NO,PEL,NO,YES,NO,33
LABRIDAE,Cheilinus,trilobatus,ICP,19000,40,29.6,29,NO,PEL,NO,YES,NO,33
LABRIDAE,Cheilinus,undulatus,ICP,21325,229,34.3,99,NO,PEL,NO,YES,NO,33
LABRIDAE,Cheilio,inermis,ICP,23400,50,56.1,29,NO,PEL,NO,YES,NO,33
LABRIDAE,Choerodon,anchorago,ICP,8700,38,19.3,24,NO,PEL,NO,YES,NO,33
LABRIDAE,Choerodon,fasciatus,ICP,6908,30,20,30,NO,PEL,NO,NO,NO,2
LABRIDAE,Choerodon,graphicus,ICP,1876,46,27,29,NO,PEL,NO,YES,NO,PS*
LABRIDAE,Cirrhilabrus,cyanopleura,ICP,6235,10,25.55,28,NO,PEL,NO,NO,NO,"2,33"
LABRIDAE,Cirrhilabrus,scottorum,ICP,8369,13,27,37,NO,PEL,NO,NO,NO,PS*
LABRIDAE,Cirrhilabrus,temminkii,ICP,4980,10,27.3,32,NO,PEL,NO,NO,NO,"2,6"
LABRIDAE,Clepticus,parrae,TA,4199,30,38.5,39,YES,PEL,NO,NO,NO,33
LABRIDAE,Coris,aygula,ICP,20158,120,51.5,28,NO,PEL,NO,YES,NO,"2,3"
LABRIDAE,Coris,batuensis,ICP,14574,17,27.55,30,NO,PEL,NO,YES,NO,"2,6,33"
LABRIDAE,Coris,flavovittata,ICP,2100,50.8,53,97,NO,PEL,NO,YES,NO,33
LABRIDAE,Coris,gaimard,ICP,11600,40,45.76,49,NO,PEL,NO,YES,NO,"2,33"
LABRIDAE,Coris,picta,ICP,3148,25,46.2,22,NO,PEL,NO,YES,NO,PS*
LABRIDAE,Coris,venusta,ICP,2100,19.3,46.1,8,NO,PEL,NO,YES,NO,33
LABRIDAE,Cymolutes,lecluse,ICP,2100,17.8,75.9,118,NO,PEL,NO,YES,NO,33
LABRIDAE,Cymolutes,praetextatus,ICP,17970,20,71,5,NO,PEL,NO,NO,NO,33
LABRIDAE,Diproctacanthus,xanthurus,ICP,5400,8,17.3,18,NO,PEL,NO,NO,NO,33
LABRIDAE,Doratonotus,megalepis,TA,11433,9.4,21.9,14,NO,PEL,NO,YES,NO,33
LABRIDAE,Epibulus,insidiator,ICP,20000,54,30.4,41,NO,PEL,NO,NO,NO,33
LABRIDAE,Gomphosus,varius,ICP,11600,30,56.6,28,NO,PEL,NO,NO,NO,"2,33"
LABRIDAE,Halichoeres,adustus,TEP,3000,12.5,33,2,NO,PEL,NO,NO,NO,34
LABRIDAE,Halichoeres,argus,ICP,11258,12,25,10,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,biocellatus,ICP,7959,12,24.26,28,NO,PEL,NO,YES,NO,"2,33"
LABRIDAE,Halichoeres,bivittatus,TA,9391,22,22.3,14,NO,PEL,NO,YES,NO,"33,PS"
LABRIDAE,Halichoeres,chierchiae,TEP,4530,17.5,31.3,67,NO,PEL,NO,YES,NO,"33,34"
LABRIDAE,Halichoeres,chloropterus,ICP,6200,19,21.1,10,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,chrysus,ICP,6160,12,26.1,58,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,discolor,TEP,10,15,32,26,NO,PEL,NO,NO,NO,34
LABRIDAE,Halichoeres,dispilus,TEP,5675,25,40.25,74,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,garnoti,TA,3819,30,24.9,78,NO,PEL,NO,YES,NO,"33,PS"
LABRIDAE,Halichoeres,hortulanus,ICP,20600,27,32.5,29,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,insularis,TEP,30,7,35.5,3,NO,PEL,NO,YES,NO,34
LABRIDAE,Halichoeres,maculipinna,TA,3819,15,29.5,22,NO,PEL,NO,YES,NO,"3,33,PS"
LABRIDAE,Halichoeres,margaritaceus,ICP,13400,12.5,21.7,5,NO,PEL,NO,NO,NO,33
LABRIDAE,Halichoeres,marginatus,ICP,20600,18,22.2,30,NO,PEL,NO,NO,NO,33
LABRIDAE,Halichoeres,melanotis,TEP,4530,15,35.7,29,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,melanurus,ICP,8957,12,24.53,24,NO,PEL,NO,NO,NO,"6,33"
LABRIDAE,Halichoeres,nebulosus,ICP,13040,12,23.9,39,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,nicholsi,TEP,4530,38,31.4,50,NO,PEL,NO,YES,NO,"33,34"
LABRIDAE,Halichoeres,notospilus,TEP,5675,25,37.7,10,NO,PEL,NO,YES,NO,"33,34"
LABRIDAE,Halichoeres,ornatissimus,ICP,11600,18,39.5,11,NO,PEL,NO,NO,NO,33
LABRIDAE,Halichoeres,pictus,TA,4091,13,24.9,20,NO,PEL,NO,NO,NO,33
LABRIDAE,Halichoeres,poeyi,TA,10764,20,24.1,14,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,prosopeion,ICP,8957,13,21.2,38,NO,PEL,NO,NO,NO,33
LABRIDAE,Halichoeres,radiatus,TA,8198,51,24.55,53,NO,PEL,NO,YES,NO,"33,PS"
LABRIDAE,Halichoeres,richmondi,ICP,7380,19,20.8,28,NO,PEL,NO,NO,NO,33
LABRIDAE,Halichoeres,scapularis,ICP,14900,20,24.4,8,NO,PEL,NO,YES,NO,33
LABRIDAE,Halichoeres,semicintus,TEP,1342,38,29.9,22,NO,PEL,NO,YES,NO,34
LABRIDAE,Halichoeres,trimaculatus,ICP,10700,27,26.8,28,NO,PEL,NO,YES,NO,33
LABRIDAE,Hemigymnus,fasciatus,ICP,20600,80,25.8,19,NO,PEL,NO,NO,NO,33
LABRIDAE,Hemigymnus,melapterus,ICP,19500,90,23.9,29,NO,PEL,NO,NO,NO,33
LABRIDAE,Iniistius,pavo,ICP,27891,41,60.16,99,NO,PEL,NO,YES,YES,33
LABRIDAE,Labrichthys,unilineatus,ICP,15926,17.5,19.2,20,NO,PEL,NO,NO,NO,33
LABRIDAE,Labroides,bicolor,ICP,17970,15,24.25,38,NO,PEL,NO,NO,NO,"2,33"
LABRIDAE,Labroides,dimidiatus,ICP,17970,14,23.16,39,NO,PEL,NO,NO,NO,"2,33"
LABRIDAE,Labroides,pectoralis,ICP,10700,11,26.8,26,NO,PEL,NO,NO,NO,33
LABRIDAE,Labroides,phthirophagus,ICP,2100,12,32.1,90,NO,PEL,NO,NO,NO,33
LABRIDAE,Labropsis,micronesica,ICP,3957,12,22,26,NO,PEL,NO,NO,NO,33
LABRIDAE,Labropsis,xanthonota,ICP,15924,13,30.5,48,NO,PEL,NO,NO,NO,33
LABRIDAE,Lachnolaimus,maximus,TA,4091,91,25.8,27,NO,PEL,NO,YES,NO,"33,PS"
LABRIDAE,Macropharyngodon,geoffroy,ICP,9500,15,32.3,26,NO,PEL,NO,YES,NO,33
LABRIDAE,Macropharyngodon,meleagris,ICP,13454,15,27.5,30,NO,PEL,NO,YES,NO,"2,33"
LABRIDAE,Macropharyngodon,negrosensis,ICP,10430,12,25,24,NO,PEL,NO,YES,NO,33
LABRIDAE,Novaculichthys,macrolepidotus,ICP,13040,15,70.5,4,NO,PEL,NO,YES,NO,33
LABRIDAE,Novaculichthys,taeniourus,ICP,27631,30,55.1,22,NO,PEL,NO,YES,YES,"2,33,34,PS"
LABRIDAE,Oxycheilinus,bimaculatus,ICP,19580,15,50.5,108,NO,PEL,NO,YES,NO,33
LABRIDAE,Oxycheilinus,digramma,ICP,14920,30,26.1,47,NO,PEL,NO,NO,NO,33
LABRIDAE,Oxycheilinus,unifasciatus,ICP,12500,46,36.2,159,NO,PEL,NO,NO,NO,33
LABRIDAE,Pseudocheilinus,evanidus,ICP,19500,8,42.5,55,NO,PEL,NO,NO,NO,33
LABRIDAE,Pseudocheilinus,hexataenia,ICP,19500,10,35,33,NO,PEL,NO,NO,NO,33
LABRIDAE,Pseudocheilinus,octotaenia,ICP,18323,14,41.6,48,NO,PEL,NO,NO,NO,33
LABRIDAE,Pseudocheilinus,tetrataenia,ICP,8842,7.5,49.3,38,NO,PEL,NO,NO,NO,33
LABRIDAE,Pseudojuloides,cerasinus,ICP,18323,12.3,42.4,59,NO,PEL,NO,NO,NO,33
LABRIDAE,Pteragogus,cryptus,ICP,17000,9.5,20.6,65,NO,PEL,NO,NO,NO,33
LABRIDAE,Pteragogus,flagellifer,ICP,11900,20,23,23,NO,PEL,NO,NO,NO,33
LABRIDAE,Pteragogus,guttatus,ICP,5881,9,20.5,23,NO,PEL,NO,NO,NO,33
LABRIDAE,Scarus,coeruleus,TA,3800,120,24,22,NO,PEL,NO,YES,NO,PS*
LABRIDAE,Scarus,ghobban,ICP,27631,75,29.7,33,NO,PEL,NO,YES,YES,PS*
LABRIDAE,Scarus,iseri,TA,4199,27,28.4,22,YES,PEL,NO,YES,NO,PS*
LABRIDAE,Scarus,rivulatus,ICP,8639,40,37,38,YES,PEL,NO,NO,NO,4
LABRIDAE,Scarus,schlegeli,ICP,11151,38,30.4,49,YES,PEL,NO,NO,NO,PS*
LABRIDAE,Scarus,taeniopterus,TA,4091,35,28.2,23,NO,PEL,NO,NO,NO,35
LABRIDAE,Semicossyphus,darwini,TEP,2000,70,37,97,NO,PEL,NO,NO,NO,34
LABRIDAE,Semicossyphus,pulcher,TEP,1893,90,37.4,55,NO,PEL,NO,YES,NO,34
LABRIDAE,Sparisoma,atomarium,TA,4199,15,18,35,NO,PEL,NO,YES,NO,PS*
LABRIDAE,Sparisoma,aurofrenatum,TA,4199,28,48.6,18,NO,PEL,NO,YES,NO,PS*
LABRIDAE,Sparisoma,viride,TA,4199,64,48.3,47,NO,PEL,NO,NO,NO,PS*
LABRIDAE,Stethojulis,balteata,ICP,2100,15,38.5,13,NO,PEL,NO,NO,NO,"2,33"
LABRIDAE,Stethojulis,bandanensis,ICP,20210,15,30.7,27,NO,PEL,NO,YES,YES,"33,34"
LABRIDAE,Stethojulis,notialis,ICP,1700,10,40.3,6,NO,PEL,NO,NO,NO,PS*
LABRIDAE,Stethojulis,strigiventer,ICP,17970,15,23.4,13,NO,PEL,NO,NO,NO,33
LABRIDAE,Thalassoma,amblycephalum,ICP,16164,16,72.4,14,NO,PEL,NO,NO,NO,33
LABRIDAE,Thalassoma,ballieui,ICP,2100,39.5,84,59,NO,PEL,NO,NO,NO,33
LABRIDAE,Thalassoma,bifasciatum,TA,4091,15,48.2,40,NO,PEL,NO,YES,NO,"3,33,PS"
LABRIDAE,Thalassoma,duperrey,ICP,2100,28,89.2,19,NO,PEL,NO,NO,NO,33
LABRIDAE,Thalassoma,grammaticum,TEP,4530,32,61.8,39,NO,PEL,NO,NO,NO,34
LABRIDAE,Thalassoma,hardwicke,ICP,17970,20,54.5,15,NO,PEL,NO,NO,NO,"2,33,PS"
LABRIDAE,Thalassoma,jansenii,ICP,8801,20,63.3,14,NO,PEL,NO,NO,NO,33
LABRIDAE,Thalassoma,lucasanum,TEP,4093,15,72.25,64,NO,PEL,NO,NO,NO,"33,34"
LABRIDAE,Thalassoma,lunare,ICP,20600,45,50.12,19,NO,PEL,NO,NO,NO,"2,3,6,33"
LABRIDAE,Thalassoma,lutescens,ICP,17970,30,78,29,NO,PEL,NO,NO,NO,33
LABRIDAE,Thalassoma,purpureum,ICP,27631,46,57.7,10,NO,PEL,NO,NO,YES,34
LABRIDAE,Thalassoma,quinquevittatum,ICP,17970,17,56.4,40,NO,PEL,NO,NO,NO,33
LABRIDAE,Thalassoma,robertsoni,TEP,7,7.8,58.6,47,NO,PEL,NO,NO,NO,34
LABRIDAE,Thalassoma,trilobatum,ICP,19375,30,78.3,10,NO,PEL,NO,NO,NO,33
LABRIDAE,Thalassoma,virens,TEP,1023,30,68.8,10,NO,PEL,NO,NO,NO,34
LABRIDAE,Xyrichtys,martinicensis,TA,10386,15,54.15,19,NO,PEL,NO,YES,NO,"33,PS"
LABRIDAE,Xyrichtys,mundiceps,TEP,4530,14.5,59.2,3,NO,PEL,NO,YES,NO,34
LABRIDAE,Xyrichtys,novacula,TA,9258,38,39,89,NO,PEL,NO,YES,NO,"7,33,PS"
LABRIDAE,Xyrichtys,splendens,TA,9790,17.5,72.1,12,NO,PEL,NO,YES,NO,"33,PS"
LABRIDAE,Xyrichtys,victori,TEP,400,15,73.7,20,NO,PEL,NO,YES,NO,34
LABRIDAE,Xyrichtys,wellingtoni,TEP,7,7.2,68,2,NO,PEL,NO,YES,NO,34
LABRISOMIDAE,Labrisomus,nuchipinnis,TA,11294,22,25,10,NO,DEM,NO,YES,NO,PS*
LABRISOMIDAE,Malacoctenus,hubbsi,TEP,1410,9,24,3,NO,DEM,NO,NO,NO,12
LABRISOMIDAE,Malacoctenus,macropus,TA,2967,5.2,21.375,8,NO,DEM,NO,YES,NO,PS*
LABRISOMIDAE,Paraclinus,nigripinnis,TA,2967,5,18.75,10,NO,DEM,NO,YES,NO,PS*
LABRISOMIDAE,Starksia,ocellata,TA,2806,6,19,18,NO,DEM,NO,NO,NO,PS*
LETHRINIDAE,Gnathodentex,aureolineatus,ICP,20329,30,40,27,YES,PEL,YES,YES,NO,PS*
LETHRINIDAE,Lethrinus,atkinsoni,ICP,12157,40,26.6,23,NO,PEL,YES,YES,NO,9
LETHRINIDAE,Lethrinus,genivittatus,ICP,7290,25,29.05,20,NO,PEL,NO,YES,NO,"9,PS"
LETHRINIDAE,Lethrinus,harak,ICP,17390,50,28,18,NO,PEL,NO,YES,NO,9
LETHRINIDAE,Lethrinus,nebulosus,ICP,17000,86,32.7,65,YES,PEL,YES,YES,NO,"6,9"
LETHRINIDAE,Lethrinus,obsoletus,ICP,17390,50,25.7,28,NO,PEL,YES,YES,NO,9
LETHRINIDAE,Lethrinus,olivaceus,ICP,17390,100,30,184,NO,PEL,NO,YES,NO,9
LETHRINIDAE,Lethrinus,ornatus,ICP,7884,40,26.6,29,NO,PEL,YES,YES,NO,9
LETHRINIDAE,Lethrinus,variegatus,ICP,15033,20,32,149,YES,PEL,NO,YES,NO,PS*
LETHRINIDAE,Lethrinus,xanthochilus,ICP,19500,70,26.65,149,NO,PEL,NO,YES,NO,3
LETHRINIDAE,Monotaxis,grandoculis,ICP,20629,60,33.3,99,NO,PEL,YES,YES,NO,PS*
LUTJANIDAE,Hoplopagrus,guentherii,TEP,4497,92,21.5,50,NO,PEL,NO,YES,NO,36
LUTJANIDAE,Lutjanus,analis,TA,10861,94,31,70,NO,PEL,NO,YES,NO,31
LUTJANIDAE,Lutjanus,apodus,TA,4199,67,32,61,YES,PEL,NO,YES,NO,31
LUTJANIDAE,Lutjanus,argentiventris,TEP,7500,71,22.9,57,NO,PEL,NO,YES,NO,37
LUTJANIDAE,Lutjanus,buccanella,TA,10002,75,26,180,NO,PEL,NO,YES,NO,PS*
LUTJANIDAE,Lutjanus,campechanus,TA,2876,100,28,180,NO,PEL,NO,YES,NO,38
LUTJANIDAE,Lutjanus,carponotatus,ICP,7884,40,35,78,YES,PEL,NO,NO,NO,39
LUTJANIDAE,Lutjanus,cyanopterus,TA,10861,160,29,78,NO,PEL,NO,YES,NO,40
LUTJANIDAE,Lutjanus,decussatus,ICP,7884,30,32.3,30,NO,PEL,NO,NO,NO,9
LUTJANIDAE,Lutjanus,fulviflamma,ICP,17000,35,23.26,32,YES,PEL,NO,YES,NO,"3,9"
LUTJANIDAE,Lutjanus,fulvus,ICP,19840,40,27.7,74,NO,PEL,NO,YES,NO,PS*
LUTJANIDAE,Lutjanus,gibbus,ICP,19500,50,54,149,YES,PEL,NO,YES,NO,3
LUTJANIDAE,Lutjanus,griseus,TA,4199,66,32.4,175,YES,PEL,NO,YES,NO,"31,41"
LUTJANIDAE,Lutjanus,guttatus,TEP,7175,80,24.15,29,YES,PEL,NO,YES,NO,36
LUTJANIDAE,Lutjanus,kasmira,ICP,19500,40,31,262,YES,PEL,NO,YES,NO,PS*
LUTJANIDAE,Lutjanus,novemfasciatus,TEP,5397,170,21.75,59,NO,PEL,NO,YES,NO,36
LUTJANIDAE,Lutjanus,sebae,ICP,13040,100,40,175,NO,PEL,NO,YES,NO,2
LUTJANIDAE,Lutjanus,synagris,TA,10861,71,23.87,390,YES,PEL,NO,YES,NO,"31,PS"
LUTJANIDAE,Lutjanus,viridis,TEP,5189,30,37.9,27,YES,PEL,NO,YES,NO,36
LUTJANIDAE,Lutjanus,vitta,ICP,9979,40,31.3,62,YES,PEL,NO,NO,NO,PS*
LUTJANIDAE,Ocyurus,chrysurus,TA,10861,86,30.9,180,YES,PEL,NO,YES,NO,"31,PS"
LUTJANIDAE,Pristipomoides,filamentosus,ICP,19458,100,45,360,NO,PEL,NO,NO,NO,14
MALACANTHIDAE,Hoplolatilus,purpureus,ICP,4848,12,34,62,NO,PEL,NO,YES,NO,2
MONACANTHIDAE,Acreichthys,tomentosus,ICP,9979,11.5,23.9,13,NO,PEL,NO,YES,NO,PS*
MONACANTHIDAE,Monacanthus,chinensis,ICP,8957,38,20,9,NO,PEL,NO,YES,NO,6
MONACANTHIDAE,Monacanthus,tuckeri,TA,4199,9,41.9,48,NO,PEL,NO,YES,NO,42
MONACANTHIDAE,Paraluteres,prionurus,ICP,13330,11,28,24,NO,PEL,NO,NO,NO,6
MULLIDAE,Mulloidichthys,flavolineatus,ICP,21500,40,60.1,30,YES,PEL,NO,YES,NO,PS*
MULLIDAE,Mulloidichthys,vanicolensis,ICP,27631,38,36.3,108,YES,PEL,NO,YES,YES,PS*
MULLIDAE,Parupeneus,barbarinoides,ICP,9792,25,42.3,14,NO,PEL,NO,YES,NO,9
MULLIDAE,Parupeneus,barberinus,ICP,18470,60,38.6,99,NO,PEL,NO,YES,NO,"3,PS"
MULLIDAE,Parupeneus,indicus,ICP,16219,35,33,112,YES,PEL,NO,YES,NO,9
MULLIDAE,Parupeneus,multifasciatus,ICP,11600,35,45,139,NO,PEL,NO,YES,NO,"3,PS"
MULLIDAE,Parupeneus,pleurostigma,ICP,19375,33,50,37,NO,PEL,NO,YES,NO,"3,PS"
MULLIDAE,Upeneus,tragula,ICP,15033,33,31.1,24,YES,PEL,NO,YES,NO,43
MURAENIDAE,Echidna,nebulosa,ICP,27631,75,80,47,NO,PEL,YES,NO,YES,2
MURAENIDAE,Rhinomuraena,quaesita,ICP,18566,130,71,56,NO,PEL,YES,YES,NO,2
NEMIPTERIDAE,Scolopsis,bilineata,ICP,11737,25,25,24,NO,PEL,NO,NO,NO,PS*
NEMIPTERIDAE,Scolopsis,taenioptera,ICP,7100,30,19,49,NO,PEL,NO,YES,NO,6
OPISTOGNATHIDAE,Opistognathus,whitehursti,TA,9294,7.8,26.5,11,NO,DEM,YES,YES,NO,PS*
OSTRACIIDAE,Lactoria,cornuta,ICP,20629,46,58,82,NO,PEL,NO,YES,NO,PS*
OSTRACIIDAE,Ostracion,cubicus,ICP,20629,15,44.3,279,NO,PEL,NO,NO,NO,PS*
OSTRACIIDAE,Ostracion,meleagris,ICP,27631,25,61.5,29,NO,PEL,NO,NO,YES,2
PINGUIPEDIDAE,Parapercis,australis,ICP,3891,9.2,41.6,3,NO,PEL,NO,NO,NO,PS*
POMACANTHIDAE,Apolemichthys,trimaculatus,ICP,15924,26,24.2,37,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,acanthops,ICP,4186,8,34,34,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,argi,TA,4199,8,36.8,75,NO,PEL,NO,YES,NO,45
POMACANTHIDAE,Centropyge,bicolor,ICP,8957,15,32,24,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,bispinosa,ICP,17970,10,32,36,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,eibli,ICP,5216,15,25.3,20,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,ferrugata,ICP,1983,10,38,24,NO,PEL,NO,YES,NO,44
POMACANTHIDAE,Centropyge,fisheri,ICP,19458,7.5,38.33,85,NO,PEL,NO,YES,NO,44
POMACANTHIDAE,Centropyge,flavissima,ICP,11915,14,30.3,47,NO,PEL,NO,NO,NO,"44,PS"
POMACANTHIDAE,Centropyge,heraldi,ICP,10000,10,32,85,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,interruptus,ICP,7846,15,31.5,48,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,loricula,ICP,7958,15,38,45,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,multifasciata,ICP,11939,12,26.2,63,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,nox,ICP,6849,10,31.5,67,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,potteri,ICP,2100,10,35.5,133,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,tibicen,ICP,6773,19,30,51,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,venusta,ICP,2600,12,25,30,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Centropyge,vroliki,ICP,6944,12,29,22,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Chaetodontoplus,duboulayi,ICP,2600,28,21.64,19,NO,PEL,NO,YES,NO,44
POMACANTHIDAE,Chaetodontoplus,melanosoma,ICP,4356,20,22.2,20,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Chaetodontoplus,mesoleucus,ICP,7468,18,19.9,19,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Chaetodontoplus,personifer,ICP,2863,35,23.2,29,NO,PEL,NO,YES,NO,44
POMACANTHIDAE,Chaetodontoplus,septentrionalis,ICP,2557,22,23,10,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Genicanthus,bellus,ICP,10600,18,25,76,YES,PEL,NO,NO,NO,44
POMACANTHIDAE,Genicanthus,melanospilos,ICP,8967,18,25,25,NO,PEL,NO,NO,NO,44
POMACANTHIDAE,Holacanthus,bermudensis,TA,3273,45,22.7,90,NO,PEL,NO,NO,NO,"45,PS"
